CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;CRI_CRA;Letras_Hipotecarias;LCI;LCI_LCA;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
24.796.967/0001-90;2024-02-01;1;10069124.21;1403.79;;;10067720.42;124153859.51;124153859.51;;;;122966759.51;;1187100;;;;;;;;;;;;;;;;;;;;;;28316058.02;;4301890.66;24014167.36;1214.13;39181.49;;;6569006.28;;;;;24848136.18;31457538.08
24.796.967/0001-90;2024-03-01;2;10069124;1404;0;0;10067720;124153860;124153860;0;0;0;122966760;0;1187100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;28316056.66;0;4301891;24014165.66;1214;39181;0;0;6569006;0;0;0;0;24848136;31457537
24.853.044/0001-22;2024-01-01;1;21614589.62;2157142.05;;;19457447.57;1957659670.56;1922581767.08;;1771181767.08;151400000;;;;;;;;;;;32775559.59;;;;2302343.89;;;;;;;;;;15289983.85;11613478.05;;3676505.8;8998437.6;1060344.58;;580741.99;;;265980392.43;;;5368752.54;281988669.14
24.853.044/0001-22;2024-02-01;1;19133440.67;2284608.77;;;16848831.9;1958498644.21;1923698214.82;;1771928567.95;151769646.87;;;;;;;;;;;32498085.5;;;;2302343.89;;;;;;;;;;13077462.08;11177012.8;;1900449.28;8398541.76;889723.79;;584707.49;;;266613596.29;;;5409455.47;281896024.8
24.853.044/0001-22;2024-03-01;1;18561703.54;2452804.91;;;16108898.63;1959595032.57;1925190876.95;;1773173455.54;152017421.41;;;;;;;;;;;32101811.73;;;;2302343.89;;;;;;;;;;13121913.57;11177012.8;;1944900.77;8698489.68;939356.08;;588847.43;;;265066741.84;;;5434219.04;280727654.07
24.853.060/0001-15;2024-01-01;1;4955270.27;4869.1;0;0;4950401.17;63339811.29;53200000;0;53200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10139811.29;0;0;;0;0;;0;0;0;2440869.44;652935.53;0;1787933.91;0;15036.7;0;0;0;0;44352196.73;0;0;6010240.74;50377474.17
24.853.060/0001-15;2024-02-01;1;4919935.08;35993.13;0;0;4883941.95;63339811.29;53200000;0;53200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10139811.29;0;0;;0;0;;0;0;0;2440156.94;652935.53;0;1787221.41;0;15036.7;0;0;0;0;44352196.73;0;0;1501990.88;45869224.31
24.853.060/0001-15;2024-03-01;1;4949642.98;14067.38;0;0;4935575.6;63339811.29;53200000;0;53200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10139811.29;0;0;;0;0;;0;0;0;2439406.94;652935.53;0;1786471.41;0;15769.99;0;0;0;0;44352196.73;0;0;1502336;45870302.72
24.960.430/0001-13;2024-01-01;1;243680367.35;42948.54;243637418.81;;;8264056704.62;0;;;;;;;;;;;;;;16618906.71;;;;;;;;8078099250.78;;;169338547.13;;;1735130.54;;;1735130.54;68867410.96;6909680.09;;;;;;;;574762931.04;650540022.09
24.960.430/0001-13;2024-02-01;1;435766081.27;44806.05;435721275.22;;;8067830601.39;0;;;;;;;;;;;;;;16157170.96;;;;;;;;7881010778.24;;;170662652.19;;;1743304.89;;;1743304.89;76074447.7;5948298.34;;;;;;;;578954160.83;660976906.87
