;Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a;LPA;VPA
739;SFSA4;4.4;13.1;0.82;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;6,25%;0.0;739524000.0;0.0;0,15%;0.34;5.37
740;LUXM3;10.0;13.14;1.72;1.522;0,00%;1.253;3056.47;8.24;-9.41;7.92;5.03;18,47%;11,58%;1.0;16,86%;13,10%;0.0;120715000.0;0.03;4,08%;0.76;5.81
741;CPLE6;9.96;13.15;1.24;1.383;3,36%;0.532;6.74;8.1;-1.66;10.64;7.73;17,07%;10,83%;1.47;7,64%;9,46%;124679000.0;23886200000.0;0.63;7,48%;0.76;8.01
742;GETI3;14.45;13.19;3.44;1.916;0,00%;1.314;-15.63;6.98;-3.19;8.2;6.76;27,43%;14,52%;0.71;22,70%;26,09%;0.0;1601130000.0;0.86;13,39%;1.10;4.20
743;GETI4;14.46;13.2;3.44;1.917;0,00%;1.315;-15.64;6.99;-3.2;8.2;6.76;27,43%;14,52%;0.71;22,70%;26,09%;0.0;1601130000.0;0.86;13,39%;1.10;4.20
744;CPLE11;50.12;13.24;1.25;1.392;3,28%;0.536;6.79;8.15;-1.67;10.7;7.77;17,07%;10,83%;1.47;7,64%;9,46%;0.0;23886200000.0;0.63;7,48%;3.79;40.04
745;TCSA3;2.98;13.28;0.37;0.542;0,00%;0.142;0.41;-7.58;-1.33;-26.31;-39.84;-7,15%;4,51%;2.97;-2,13%;2,79%;236796.0;591429000.0;1.2;0,88%;0.22;8.03
746;BMIN3;20.01;13.29;0.73;0.0;6,36%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;5,48%;8357.27;132658000.0;0.0;26,61%;1.51;27.49
747;CXSE3;15.93;13.34;3.8;0.0;6,34%;3.413;966.94;-434.31;1035.4;-426.58;-426.57;0,00%;0,00%;1.03;-0,84%;28,46%;104164000.0;12585900000.0;0.0;0,00%;1.19;4.20
748;INTB3;22.22;13.38;2.8;1.774;2,27%;1.489;3.24;15.21;5.4;14.42;12.37;11,66%;13,29%;2.64;17,69%;20,93%;25593800.0;2600820000.0;0.36;27,76%;1.66;7.94
749;ALUP11;30.47;13.38;1.26;2.804;5,70%;0.327;4.28;3.99;-0.75;7.85;7.36;70,33%;34,76%;1.67;9,16%;9,44%;19546100.0;7355540000.0;1.61;-10,64%;2.28;24.14
750;FESA3;14.51;13.4;1.61;2.105;4,29%;1.247;4.72;13.62;7.71;12.21;7.75;15,45%;15,72%;3.17;11,92%;11,99%;11616.1;3190100000.0;0.09;21,50%;1.08;9.03
751;ALUP4;10.18;13.41;1.27;2.811;5,68%;0.327;4.29;4.0;-0.75;7.86;7.37;70,33%;34,76%;1.67;9,16%;9,44%;184885.0;7355540000.0;1.61;-10,64%;0.76;8.05
752;RGEG3;3.0;13.42;1.6;0.77;0,00%;0.609;-98.28;6.23;-1.76;10.04;11.7;12,36%;5,74%;0.98;11,69%;11,90%;0.0;1915180000.0;1.15;10,09%;0.22;1.88
753;MILS3;13.37;13.46;2.37;2.462;2,23%;1.195;5.44;7.19;-9.42;8.23;5.71;34,22%;18,30%;2.49;22,47%;17,59%;10274500.0;1390720000.0;0.76;43,59%;0.99;5.65
754;ALUP3;10.25;13.5;1.27;2.83;5,64%;0.33;4.32;4.02;-0.76;7.88;7.39;70,33%;34,76%;1.67;9,16%;9,44%;122432.0;7355540000.0;1.61;-10,64%;0.76;8.05
755;MELK3;4.76;13.57;0.84;0.972;11,79%;0.403;0.73;26.89;1.22;22.38;19.94;3,61%;8,93%;3.08;1,89%;6,17%;680588.0;1171940000.0;0.24;21,63%;0.35;5.68
756;ABEV3;12.75;13.85;2.54;2.519;5,73%;1.514;-45.22;11.81;-12.6;11.05;8.17;21,33%;18,76%;0.89;17,90%;18,36%;312348000.0;78969300000.0;0.04;12,11%;0.92;5.01
757;ARCE3;54.0;14.01;2.6;2.461;0,00%;1.726;11.33;8.89;102.03;9.07;9.07;27,70%;19,46%;1.97;22,04%;18,59%;0.0;13495400000.0;0.17;48,47%;3.85;20.73
758;ODPV3;13.0;14.04;5.18;3.39;2,88%;3.319;-54.76;12.12;-27.72;11.49;10.61;27,97%;24,15%;0.8;33,62%;36,87%;26245900.0;1386990000.0;0.0;3,99%;0.93;2.51
759;BSLI4;11.18;14.16;1.64;0.0;1,39%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;11,62%;9678.49;2467570000.0;0.0;1,89%;0.79;6.80
760;TMGC11;900.0;14.26;1.83;1.309;0,00%;1.26;7.62;20.08;13.46;18.75;18.75;6,52%;9,18%;1.69;8,73%;12,83%;0.0;1167010000.0;0.05;10,49%;63.11;491.99
