TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
BBFO11;73,08;0,640000;11,08;83,19;0,88;591.283,81;0,36;6,74;-9,91;333.079.626,89;6.001,00;Passiva;4.003.900,00
BBIM11;0,00;0,650000;0,00;13,20;;;12,81;-28,93;;13.666.742,03;20,00;Ativa;1.035.000,00
BBRC11;115,26;1,130000;11,24;102,54;1,12;142.272,70;5,50;6,50;-3,76;163.032.955,29;9.491,00;Passiva;1.590.000,00
BCFF11;9,20;0,070000;9,13;9,85;0,93;3.592.728,37;2,85;3,04;-7,83;1.983.948.928,88;301.309,00;Ativa;201.491.024,00
BCIA11;105,46;0,850000;9,25;107,13;0,98;644.076,93;0,51;8,28;-2,17;398.417.700,62;20.209,00;Ativa;3.719.038,00
BCRI11;76,00;0,780000;12,32;95,95;0,79;680.688,74;8,01;-13,30;-13,04;600.421.846,53;46.968,00;Ativa;6.257.873,00
BICE11;900,01;6,640000;12,66;991,06;0,91;2.506,33;10,25;;;89.502.695,85;110,00;Ativa;90.310,00
BICR11;79,04;0,500000;9,65;44,43;1,78;3.421,67;29,02;32,99;-7,48;22.215.276,65;613,00;Ativa;500.000,00
BIME11;7,32;0,080000;13,52;8,72;0,84;95.173,37;3,50;;;50.992.648,17;8.696,00;Ativa;5.845.602,00
BIPD11;988,71;10,380000;1,05;990,32;1,00;155.227,00;17,62;;;73.614.760,94;112,00;Ativa;74.334,00
BLCA11;120,00;12,600000;15,64;139,19;0,86;11.705,39;3,44;;;222.709.878,91;243,00;Ativa;1.600.000,00
BLCP11;91,00;0,563428;0,00;111,74;0,81;;1,06;;-4,20;256.580.339,90;279,00;Ativa;2.296.282,00
BLMC11;86,00;0,673700;11,29;96,56;0,89;120.259,44;16,15;;;38.574.992,97;463,00;Ativa;399.500,00
BLMG11;40,44;0,440000;19,73;84,22;0,48;919.214,22;0,79;;;320.924.521,43;13.774,00;Ativa;3.810.588,00
BLMO11;93,16;0,430000;1.040,61;33.347,26;0,00;266.896,62;2,33;;;126.619.532,86;88,00;Ativa;3.797,00
BLMR11;6,80;0,053000;8,84;7,61;0,89;512.894,67;6,49;;;194.292.702,53;18.558,00;Ativa;25.541.630,00
BLUR11;98,00;0,680000;11,53;89,61;1,09;2.278,83;2,21;;;8.064.507,20;135,00;Ativa;90.000,00
BMII11;0,00;0,228341;0,00;467,93;;;1,18;;;67.849.240,58;12,00;Passiva;145.000,00
BMLC11;105,00;0,780000;11,22;111,79;0,94;360.719,50;17,20;17,62;3,03;111.613.625,16;1.326,00;Ativa;998.405,00
BNFS11;119,71;1,258224;14,31;91,89;1,30;172.218,48;6,30;8,32;-1,43;64.321.249,39;5.119,00;Ativa;700.000,00
BPFF11;73,71;0,620000;10,09;76,26;0,97;393.486,33;5,63;2,84;-2,49;342.567.700,40;17.859,00;Ativa;4.492.326,00
BPLC11;0,00;14,420464;0,00;10.084,54;;;3,45;;;322.705.257,87;114,00;Ativa;32.000,00
BPML11;95,08;0,270465;0,57;133,42;0,71;543.715,07;11,37;;-0,50;574.377.364,32;1.344,00;Ativa;4.305.079,00
BPRP11;108,99;0,900000;9,97;110,30;0,99;12.524,00;0,15;4,53;-4,43;148.891.327,88;170,00;Passiva;1.349.837,00
BRCO11;124,60;0,990000;8,19;120,60;1,03;3.272.443,63;2,11;11,88;2,83;1.782.268.645,73;119.131,00;Ativa;14.778.781,00
BRCR11;60,51;0,410000;8,66;99,92;0,61;2.394.796,11;0,53;-2,48;-12,71;2.661.585.318,90;149.874,00;Ativa;26.638.202,00
BREV11;105,00;0,580000;4,99;0,00;;271.522,64;;8,81;-2,85;0,00;320,00;Ativa;967.201,00
