TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
NVRO;12,14;;-4,79;1,51;0,70;68,22;-21,13;-21,69;-5,45;-3,68;1,24;-0,38;1,04;0,99;-4,22;6,37;-31,46;-14,51;-18,92;0,46;0,54;0,67;1,88;;;8,05;-2,53;;441.870.506,00
NVS;94,39;;8,85;3,17;1,63;72,62;24,46;38,78;;14,08;0,05;0,01;3,43;21,94;-2,37;1,31;35,79;18,40;14,84;0,51;0,49;0,47;0,24;3,32;;29,79;10,66;;192.936.369.260,00
NVST;19,96;;-34,17;0,82;0,52;56,13;0,33;-3,90;19,49;470,30;67,46;0,14;1,33;3,56;-0,70;2,23;-2,40;-1,52;-0,65;0,63;0,37;0,39;-2,04;;;24,33;-0,58;;3.424.139.996,00
NVT;71,38;1,00;20,78;3,75;1,91;41,12;17,74;17,38;16,28;23,11;2,76;0,51;3,61;19,56;-2,44;1,82;18,05;9,20;10,39;0,51;0,49;0,53;8,07;19,70;;19,04;3,44;;11.782.639.496,00
NVTA;0,01;;0,00;0,00;0,01;27,13;-294,04;-299,14;0,00;-0,78;-0,78;;0,01;0,01;-0,02;2,39;-132,97;-269,22;-524,81;-2,02;3,02;0,90;49,90;;;-3,78;-5,03;;2.864.928,00
NVUS;0,00;;;;;;;;;5,44;5,44;-5,32;;;;18,78;-97,88;-10,93;-97,88;0,11;0,03;0,00;;;;;;;0,00
NWBI;11,04;7,25;10,40;0,90;0,10;0,00;31,63;19,23;5,62;-0,94;-7,26;-1,04;2,00;;-0,10;;8,70;0,94;9,32;0,11;0,89;0,05;8,46;5,05;;12,20;1,06;;1.403.324.208,00
NWE;49,99;5,14;17,23;1,12;0,41;53,09;20,19;11,92;5,97;18,92;8,74;0,96;2,05;-14,51;-0,43;0,63;6,49;2,39;5,37;0,37;0,63;0,20;2,51;2,38;;44,72;2,90;;3.063.152.247,00
NWFL;23,50;5,02;11,37;1,05;0,09;0,00;27,58;16,17;6,05;-3,18;-9,84;-1,55;1,84;;-0,09;;9,26;0,76;6,38;0,08;0,92;0,05;15,90;4,19;;22,33;2,07;;190.589.700,00
NWG;6,97;8,17;9,73;0,74;0,03;85,83;0,00;17,51;;;;-5,91;1,70;0,81;-0,13;1,06;7,61;0,33;;0,04;0,96;0,02;9,40;16,60;;9,41;0,72;;30.491.523.085,00
NWHM;8,99;;30,94;0,81;0,30;14,90;1,80;1,02;9,35;35,14;17,57;0,81;0,32;2,73;-0,39;1,96;2,60;0,97;1,49;0,37;0,63;0,95;3,36;;;11,16;0,29;;163.263.794,00
NWL;6,84;4,09;-7,30;0,91;0,23;28,93;-3,20;-4,77;38,29;-28,48;-17,58;1,47;0,35;6,20;-0,32;1,16;-12,47;-3,19;-5,18;0,26;0,74;0,67;-4,34;;;7,51;-0,94;;2.833.812.000,00
NWLI;487,85;0,07;18,78;0,73;0,14;67,16;18,44;13,43;12,99;19,17;5,50;0,29;2,52;;-0,14;;3,87;0,77;2,60;0,20;0,80;0,06;4,98;-4,16;;670,99;25,97;;1.773.822.600,00
NWN;37,51;5,19;15,06;1,10;0,29;31,33;16,94;7,84;4,26;15,51;8,54;1,35;1,18;-14,81;-0,33;0,86;7,31;1,93;5,59;0,26;0,74;0,25;11,14;7,77;;34,08;2,49;;1.413.253.017,00
NWPX;31,54;;14,81;0,92;0,52;17,47;7,68;4,74;6,25;10,93;1,79;0,18;0,70;1,77;-0,96;2,83;6,19;3,52;6,39;0,57;0,43;0,74;20,88;0,74;;34,41;2,13;;311.999.988,00
NWS;24,81;0,81;61,83;1,72;0,85;100,00;5,43;2,29;11,26;28,49;2,44;0,16;1,41;11,57;-1,11;1,44;2,79;1,37;3,23;0,49;0,51;0,60;1,83;;;14,40;0,40;;14.097.692.022,00
NWSA;24,02;0,83;59,86;1,67;0,82;100,00;5,43;2,29;10,90;28,49;2,44;0,16;1,37;11,20;-1,08;1,44;2,79;1,37;3,23;0,49;0,51;0,60;1,83;;;14,40;0,40;;14.097.692.022,00
