TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
GLOG11;75,00;0,600000;6,96;108,96;0,69;8.200,94;2,22;-7,27;13,29;81.722.702,68;1.466,00;;750.000,00
GLPF11;109,21;0,670000;8,31;103,63;1,05;23.653,55;0,44;;;155.966.699,11;2.448,00;;1.505.000,00
GLPL11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;0,00
GRLV11;104,51;0,170000;0,00;5,97;17,51;;2.489,44;135,25;;6.407.890,29;2.604,00;;1.073.530,00
GRUL11;8,12;0,080000;12,19;9,68;0,84;232.377,29;1,45;;;239.163.458,88;5.220,00;;24.700.000,00
GSFI11;11,18;;0,00;12,73;0,88;17.433.453,00;2,17;;14,59;1.223.710.564,51;6.708,00;;96.106.665,00
GTLG11;63,99;0,840000;0,00;60,62;1,06;;100,03;;-12,34;434.811.690,70;341,00;;7.173.000,00
GTWR11;80,25;0,900000;13,46;101,39;0,79;728.102,00;1,58;4,44;11,34;1.216.667.356,04;33.431,00;;12.000.000,00
GURB11;108,00;0,700000;0,00;128,27;0,84;;3,36;;1,27;145.476.950,69;1,00;;1.134.132,00
GVBI11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;0,00
GZIT11;42,59;0,420000;17,75;87,05;0,49;465.985,67;4,33;;;2.028.146.076,20;8.032,00;;23.297.836,00
HAAA11;55,84;0,080000;5,64;64,64;0,86;373,55;2,46;4,50;0,50;223.322.900,36;231,00;;3.455.000,00
HABT11;71,53;0,970000;16,24;95,11;0,75;981.107,76;12,65;-2,43;4,58;772.911.596,36;57.158,00;;8.126.783,00
HBCR11;146,00;0,550000;10,19;116,75;1,25;47,17;0,14;24,54;23,00;186.801.196,94;73,00;;1.600.000,00
HBTT11;1.055,00;16,580000;0,00;0,00;16,53;;3,50;;;0,00;0,00;;0,00
HCHG11;74,98;0,710000;9,74;82,96;0,90;12.949,00;1,08;0,55;9,06;99.549.645,67;513,00;;1.200.000,00
HCPR11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;0,00
HCRI11;267,60;2,530000;18,05;286,78;0,93;44.199,67;2,90;16,27;15,20;57.356.168,83;3.009,00;;200.000,00
HCST11;38,00;;0,00;57,83;0,66;1.073,56;0,94;;-8,75;50.365.846,01;57,00;;870.918,00
HCTR11;16,30;0,260000;19,34;100,37;0,16;637.342,90;0,55;-7,11;-24,27;2.216.689.880,53;123.678,00;;22.084.202,00
HDEL11;3,45;15,300000;443,48;4,40;0,78;204,89;19,56;;;3.697.614,77;144,00;;840.000,00
HDOF11;91,00;;0,00;92,65;0,98;784.666,58;1,97;;-7,85;312.224.041,24;122,00;;3.370.000,00
HFOF11;6,22;0,060000;11,15;7,77;0,80;2.113.403,67;0,97;-2,72;2,17;1.707.518.504,88;94.205,00;;219.693.000,00
