TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
QGEN;44,06;;19,55;3,06;1,63;64,44;28,05;22,75;;16,11;0,26;0,05;4,45;8,50;-2,51;2,23;15,67;8,36;10,94;0,53;0,47;0,37;8,60;59,97;;14,39;2,25;;10.053.712.138,00
QH;1,18;;-0,42;0,08;0,04;5,95;-2,63;-3,29;;2,53;3,05;-0,46;0,01;0,27;-0,10;1,27;-18,93;-8,73;-20,54;0,46;0,54;2,65;;;;14,98;-2,84;;6.482.448,00
QIWI;5,67;;1,48;0,48;0,26;63,66;35,90;39,05;;-2,66;-4,27;-1,27;0,58;0,54;-1,79;2,34;32,40;17,87;21,13;0,55;0,45;0,46;14,23;27,87;;11,82;3,83;;355.582.710,00
QK;2,74;;-27,11;-1,23;8,10;100,00;100,00;-37,26;8,81;11,74;1,64;;10,10;-1,41;-15,22;0,08;-4,54;-29,87;-15,37;-6,58;7,58;0,80;;;;-2,23;-0,10;;474.608.278,00
QLGN;0,49;;-0,15;1,25;0,19;18,59;-236,92;-181,25;-0,12;-0,13;-0,02;0,21;0,26;-0,70;-0,31;0,57;-860,72;-133,13;-612,72;0,15;0,85;0,73;;;;0,39;-3,38;;2.538.739,00
QLYS;189,16;;49,94;21,55;9,25;80,01;30,60;25,77;36,31;39,46;-2,59;-1,33;12,87;36,30;-36,68;1,52;43,15;18,53;43,15;0,43;0,57;0,72;16,23;21,71;;8,78;3,79;;6.958.345.180,00
QMCO;0,35;;-0,87;-0,35;0,16;33,09;-6,03;-9,40;-2,67;-4,40;-3,05;;0,08;4,89;-0,55;1,05;-40,71;-18,20;-407,55;-0,45;1,45;1,94;-1,17;;;-0,99;-0,40;;33.264.210,00
QNST;12,99;;-9,46;3,19;2,21;7,81;-4,52;-13,35;-135,51;-25,73;2,22;-0,25;1,26;14,35;-3,77;1,59;-33,69;-23,34;-33,39;0,69;0,31;1,75;7,50;;;4,07;-1,37;;708.981.210,00
QQQX;23,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QRHC;6,78;;-16,41;2,01;0,80;17,53;0,60;-2,95;10,65;114,59;33,87;0,84;0,48;15,15;-1,16;1,20;-12,25;-4,86;1,07;0,40;0,60;1,65;15,47;;;3,37;-0,41;;136.006.122,00
QRTEA;0,86;;4,35;0,57;0,03;32,04;5,85;0,68;0,31;7,26;6,76;7,57;0,03;0,33;-0,04;1,42;13,05;0,67;9,47;0,05;0,95;0,99;3,08;;;1,52;0,20;;334.881.764,00
QRTEB;6,10;;30,85;4,03;0,21;32,04;5,85;0,68;2,20;7,26;6,76;7,57;0,21;2,31;-0,30;1,42;13,05;0,67;9,47;0,05;0,95;0,99;3,08;;;1,52;0,20;;334.881.764,00
QRTEP;40,98;19,52;207,24;27,05;1,40;32,04;5,85;0,68;14,78;7,26;6,76;7,57;1,41;15,51;-2,01;1,42;13,05;0,67;9,47;0,05;0,95;0,99;3,08;;;1,52;0,20;;334.881.764,00
QRVO;103,71;;29,78;2,64;1,50;41,38;13,23;8,39;14,47;21,40;2,51;0,35;2,50;6,35;-2,27;3,37;8,88;5,05;6,99;0,57;0,43;0,60;8,91;;;39,21;3,48;;10.095.732.918,00
QS;6,61;;-7,34;2,29;2,07;;;;-8,06;-4,90;2,48;-0,77;;2,97;-7,56;24,57;-31,24;-28,16;-30,24;0,90;0,10;0,00;;;;2,88;-0,90;;3.236.000.193,00
QS.WS;9,09;;-10,09;3,15;2,84;;;;-11,09;-4,90;2,48;-0,77;;4,08;-10,39;24,57;-31,24;-28,16;-30,24;0,90;0,10;0,00;;;;2,88;-0,90;;3.236.000.193,00
QSR;76,90;2,86;26,34;8,25;1,04;65,01;27,76;13,22;11,27;18,79;6,24;4,11;3,48;76,91;-1,16;1,15;31,33;3,95;11,77;0,13;0,87;0,30;7,29;7,87;;9,32;2,92;;23.994.999.340,00
QTNT;0,38;;-0,01;-0,01;0,01;-9,37;-358,72;-413,33;-0,01;-1,47;-1,46;;0,04;0,06;-0,02;1,79;-85,41;-121,60;-320,27;-1,42;2,42;0,29;11,62;;;-51,56;-44,04;;1.342.046,00
QTRX;23,45;;-23,04;2,51;2,07;56,96;-32,47;-33,01;-27,09;-14,77;8,65;-0,93;7,61;2,56;-18,47;10,84;-10,90;-8,97;-10,90;0,82;0,18;0,27;35,77;;;9,34;-1,02;;887.106.465,00
