Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield (%),DY (3M) Acumulado (%),DY (6M) Acumulado (%),DY (12M) Acumulado (%),DY (3M) média (%),DY (6M) média (%),DY (12M) média (%),DY Ano (%),Variação Preço (%),Rentab. Período (%),Rentab. Acumulada (%),Patrimônio Líquido,VPA,P/VPA,DY Patrimonial (%),Variação Patrimonial (%),Rentab. Patr. Período (%),Rentab. Patr. Acumulada (%),Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão (%aa),Tax. Performance (%aa),Tax. Administração (%aa)
HIRE11,Imóveis Industriais e Logísticos,100.36,2367716.65,1.0,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.0,0.0,N/A,"274.535.713,93",N/A,N/A,N/A,N/A,N/A,N/A,4,259.89,110,N/A,N/A,N/A
HLMB11,Misto,N/A,N/A,N/A,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"49.750.189,06",N/A,N/A,N/A,N/A,N/A,N/A,24,N/A,49,N/A,N/A,N/A
HLOG11,Imóveis Industriais e Logísticos,8.78,63288.0,0.74,0.07,0.75,2.98,5.4,10.55,0.99,0.9,0.88,2.21,0.76,1.51,5.27,"507.210.129,52",12.01,0.73,0.58,-89.69,-89.63,-88.5,2,1222.8,4071,N/A,N/A,0.8
HOFC11,Lajes Corporativas,34.0,273510.38,0.6,0.21,0.65,0.0,0.0,0.0,0.0,0.0,0.0,2.01,75.72,76.86,67.59,"214.282.245,00",N/A,N/A,N/A,N/A,N/A,N/A,2,3748.44,4126,N/A,N/A,0.83
HOSI11,Imóveis Residenciais,77.55,2180.79,0.64,0.25,0.3,0.3,2.6,7.1,0.3,0.43,0.59,0.3,0.0,0.0,N/A,"69.477.364,30",121.16,0.64,0.21,31.61,31.89,39.52,14,2137.03,1085,N/A,20.0,0.35
HPDP11,Shoppings,91.17,2846.85,0.94,0.61,0.7,2.05,4.82,8.12,0.68,0.8,0.68,6.1,-0.32,0.38,13.54,"673.427.789,71",95.51,0.95,0.64,7.0,7.69,7.44,1,3060.0,610,N/A,N/A,0.5
HRDF11,Fundo de Desenvolvimento,4.45,34.4,0.51,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"13.195.695,60",N/A,N/A,N/A,N/A,N/A,N/A,14,22799.91,839,N/A,N/A,0.75
HREC11,Papéis,8.17,156064.33,0.92,0.1,1.09,3.31,6.23,12.6,1.1,1.04,1.05,7.25,2.35,3.47,18.06,"460.267.229,38",8.91,0.92,1.07,-89.98,-89.87,-88.85,14,1666.67,2417,N/A,20.0,0.8
HRES11,Imóveis Residenciais,141.53,2140733.0,1.26,19.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"52.564.815,88",N/A,N/A,N/A,N/A,N/A,N/A,14,3284.79,135,N/A,N/A,N/A
HSAF11,Papéis,77.59,491455.71,0.87,0.95,1.19,3.59,7.3,15.02,1.2,1.22,1.25,2.37,-1.12,0.06,4.42,"225.481.752,46",89.41,0.87,1.06,-2.11,-1.07,7.92,14,1292.05,8802,N/A,20.0,1.0
HSLG11,Imóveis Industriais e Logísticos,91.06,1392169.19,0.84,0.72,0.79,2.36,4.82,9.9,0.79,0.8,0.83,1.57,-0.63,0.16,1.83,"1.386.117.337,47",109.86,0.83,0.66,4.69,5.37,6.84,6,1572.77,40116,N/A,20.0,0.85
HSML11,Shoppings,86.36,4160376.62,0.83,0.75,0.88,2.44,4.73,9.82,0.81,0.79,0.82,5.52,-7.57,-6.76,7.33,"2.222.527.268,64",104.2,0.83,0.68,6.78,7.51,13.14,10,1443.87,191016,1.05,20.0,N/A
HSRE11,Misto,87.73,1101292.9,1.01,0.85,0.79,2.61,5.39,10.83,0.87,0.9,0.9,1.68,1.41,2.21,7.67,"769.710.080,04",87.39,1.0,0.97,-9.01,-8.12,-2.28,22,2431.86,792,N/A,20.0,0.85
HTMX11,Hotéis,138.78,534070.52,0.93,2.95,2.11,3.89,6.38,12.7,1.3,1.06,1.06,7.25,4.48,6.68,10.61,"430.803.119,92",149.17,0.93,0.8,6.28,7.14,23.98,20,1034.65,33089,N/A,20.0,0.5
HUCG11,Hospitalar,88.22,1331.6,0.69,0.79,0.83,2.47,3.29,3.29,0.82,0.55,0.27,1.67,7.97,8.86,9.76,"143.721.044,07",N/A,N/A,N/A,N/A,N/A,N/A,2,6930.59,241,0.1,N/A,0.6
HUSC11,Hospitalar,96.01,2417.0,0.64,1.05,1.07,2.14,5.45,10.29,0.71,0.91,0.86,1.07,-1.92,-0.87,-0.87,"127.709.454,20",150.93,0.64,0.7,2.85,3.56,12.04,1,3785.69,763,N/A,N/A,0.35
